Source;Target;Label;Highway;Length;Type
131;236;Rua de Aveiro;residential;478.55;Undirected
265;264;Rua da Misericórdia;residential;128.21;Undirected
264;266;Rua da Misericórdia;residential;134.7;Undirected
267;268;Rua Rego do Bonfim;residential;99.97;Undirected
268;269;Rua Rego do Bonfim;residential;125.61;Undirected
249;267;Rua Jorge Mendes;residential;21.37;Undirected
267;270;Rua Jorge Mendes;residential;65.43;Undirected
270;271;Rua Jorge Mendes;residential;156.55;Undirected
270;268;Estrada Velha de Coselhas;residential;41.28;Undirected
268;272;Estrada Velha de Coselhas;residential;292.08;Undirected
224;273;Rua Doutor António José de Almeida;residential;160.83;Undirected
273;274;Rua Doutor António José de Almeida;residential;316.57;Undirected
275;276;Rua José Pinto Loureiro;residential;136.09;Undirected
277;278;Rua Adolfo Coelho;residential;81.34;Undirected
273;277;Rua Adolfo Coelho;residential;69.17;Undirected
277;275;Rua Adolfo Coelho;residential;48.64;Undirected
275;279;Rua Adolfo Coelho;residential;77.39;Undirected
101;280;Rua de Baixo;residential;55.25;Undirected
280;281;Rua de Baixo;residential;18.74;Undirected
100;280;Travessa da Rua de Baixo;residential;31.39;Undirected
172;181;Travessa da Esperança;residential;26.5;Undirected
282;261;Rua João de Ruão;residential;35.73;Undirected
261;251;Rua João de Ruão;residential;42.89;Undirected
251;21;Rua João de Ruão;residential;65.39;Undirected
283;3;Largo Dom Dinis;residential;19.54;Undirected
40;284;Bairro Sousa Pinto;residential;184.38;Undirected
285;161;Largo Doutor José Rodrigues;residential;69.97;Undirected
119;262;Rua Antero de Quental;residential;169.62;Undirected
262;47;Rua Antero de Quental;residential;91.69;Undirected
47;227;Rua Antero de Quental;residential;226.01;Undirected
227;156;Rua Antero de Quental;residential;25.38;Undirected
10;5;Avenida Marnoco e Sousa;residential;73.26;Undirected
6;286;Rua Sousa Refoios;residential;91.53;Undirected
287;288;Rua Santa Teresa;secondary;14.69;Undirected
289;290;Largo de Santana;secondary;5.92;Undirected
290;291;Largo de Santana;secondary;13.54;Undirected
291;292;Largo de Santana;secondary;8.6;Undirected
292;187;Largo de Santana;secondary;8.6;Undirected
187;293;Largo de Santana;secondary;13.53;Undirected
293;288;Largo de Santana;secondary;5.94;Undirected
288;289;Largo de Santana;secondary;5.93;Undirected
294;295;Avenida Inês de Castro;primary;704.92;Undirected
163;9;UNAMED;residential;10.12;Undirected
296;283;Largo Dom Dinis;residential;50.65;Undirected
283;4;Largo Dom Dinis;residential;24.02;Undirected
4;297;Largo Dom Dinis;residential;83.61;Undirected
13;51;Alameda Júlio Henriques;secondary;256.54;Undirected
51;163;Alameda Júlio Henriques;secondary;85.67;Undirected
297;296;Largo Dom Dinis;residential;35.69;Undirected
298;41;Avenida Fernão de Magalhães;secondary;30.6;Undirected
85;260;Avenida Fernão de Magalhães;secondary;57.8;Undirected
260;211;Avenida Fernão de Magalhães;secondary;128.4;Undirected
211;197;Avenida Fernão de Magalhães;secondary;75.52;Undirected
197;299;Avenida Fernão de Magalhães;secondary;35.51;Undirected
299;216;Avenida Fernão de Magalhães;secondary;8.98;Undirected
216;41;Avenida Fernão de Magalhães;secondary;92.03;Undirected
42;300;Rua António Granjo;residential;71.0;Undirected
253;301;Estrada de Coselhas;secondary;139.16;Undirected
205;302;UNAMED;residential;38.39;Undirected
32;53;Rua da Infantaria 23;secondary;177.28;Undirected
288;57;Rua de Pedro Monteiro;residential;22.15;Undirected
293;287;Rua Santa Teresa;secondary;14.59;Undirected
57;290;Rua de Pedro Monteiro;residential;25.03;Undirected
7;188;Rua Fernando Melo;residential;76.15;Undirected
303;28;Praça da República;secondary;7.98;Undirected
28;72;Praça da República;secondary;47.97;Undirected
210;304;UNAMED;residential;38.98;Undirected
305;306;Adro Santa Justa;residential;31.42;Undirected
307;308;UNAMED;residential;40.79;Undirected
106;309;UNAMED;residential;23.96;Undirected
309;107;UNAMED;residential;19.44;Undirected
309;310;Rua Padre Estêvão Cabral;residential;30.11;Undirected
194;143;Rua Padre Estevão Cabral;residential;9.34;Undirected
311;312;Rua Guarda Inglesa;primary;419.69;Undirected
313;314;Calçada de Santa Isabel;residential;126.47;Undirected
315;316;UNAMED;residential;30.94;Undirected
317;318;Rua Guarda Inglesa;primary;341.98;Undirected
318;319;Rua Guarda Inglesa;primary;36.74;Undirected
320;321;UNAMED;residential;10.82;Undirected
314;117;Calçada de Santa Isabel;residential;18.7;Undirected
322;323;Avenida de Conímbriga;tertiary;481.69;Undirected
324;325;Travessa Doutor António José de Almeida;residential;74.15;Undirected
325;91;Travessa Doutor António José de Almeida;residential;57.78;Undirected
46;54;Praça Machado de Assis;residential;27.05;Undirected
54;62;Praça Machado de Assis;residential;30.42;Undirected
62;46;Praça Machado de Assis;residential;27.39;Undirected
46;120;UNAMED;residential;25.1;Undirected
326;325;UNAMED;residential;27.96;Undirected
149;252;Rua João Machado;secondary;69.08;Undirected
252;189;Rua João Machado;secondary;85.2;Undirected
189;191;Rua João Machado;secondary;27.89;Undirected
148;311;Rua do Coelho da Rocha;residential;12.23;Undirected
327;328;Avenida João das Regras;primary;179.14;Undirected
295;329;UNAMED;primary;33.41;Undirected
323;330;Rua Luís António Verney;tertiary;188.46;Undirected
148;331;Rua Coelho da Rocha;residential;176.97;Undirected
331;332;Rua Coelho da Rocha;residential;339.81;Undirected
199;259;UNAMED;residential;32.13;Undirected
259;198;UNAMED;residential;40.13;Undirected
236;232;Rua de Aveiro;residential;53.91;Undirected
240;333;Largo da Conchada;residential;16.87;Undirected
