Source;Target;Label;Highway;Length;Type
311;312;Rua da Rosa;residential;98.3;Undirected
312;313;Rua da Rosa;residential;39.35;Undirected
313;314;Rua da Rosa;residential;50.51;Undirected
314;315;Rua da Rosa;residential;19.2;Undirected
315;316;Rua da Rosa;residential;55.54;Undirected
308;317;Travessa do Poço da Cidade;residential;29.68;Undirected
317;318;Travessa do Poço da Cidade;residential;33.11;Undirected
318;319;Travessa do Poço da Cidade;residential;39.55;Undirected
319;320;Travessa do Poço da Cidade;residential;33.55;Undirected
320;321;Travessa do Poço da Cidade;residential;26.85;Undirected
172;322;Travessa da Queimada;residential;18.22;Undirected
323;324;Travessa da Cara;residential;34.17;Undirected
324;325;Travessa da Cara;residential;24.83;Undirected
325;326;Travessa da Cara;residential;8.18;Undirected
326;177;Travessa da Cara;residential;34.76;Undirected
327;328;Rua do Diário de Notícias;residential;54.0;Undirected
328;329;Rua do Diário de Notícias;residential;46.53;Undirected
329;319;Rua do Diário de Notícias;residential;58.87;Undirected
319;330;Rua do Diário de Notícias;residential;61.86;Undirected
330;331;Rua do Diário de Notícias;residential;46.17;Undirected
331;332;Rua do Diário de Notícias;residential;32.07;Undirected
332;302;Rua do Diário de Notícias;residential;31.84;Undirected
302;325;Rua do Diário de Notícias;residential;29.27;Undirected
333;320;Rua do Norte;residential;69.91;Undirected
320;334;Rua do Norte;residential;57.01;Undirected
334;335;Rua do Norte;residential;47.56;Undirected
335;336;Rua do Norte;residential;53.3;Undirected
336;337;Rua do Norte;residential;29.45;Undirected
338;339;Rua das Gáveas;residential;79.38;Undirected
339;340;Rua das Gáveas;residential;48.2;Undirected
340;321;Rua das Gáveas;residential;56.27;Undirected
321;322;Rua das Gáveas;residential;73.88;Undirected
174;332;Travessa da Água-da-Flor;residential;53.2;Undirected
332;341;Travessa da Água-da-Flor;residential;64.74;Undirected
341;310;Travessa da Água-da-Flor;residential;29.78;Undirected
342;324;Rua dos Mouros;residential;96.42;Undirected
304;326;Rua do Teixeira;residential;99.11;Undirected
343;344;Rua de São Boaventura;residential;4.78;Undirected
344;345;Rua de São Boaventura;residential;170.38;Undirected
346;347;Rua Luz Soriano;residential;110.6;Undirected
347;348;Rua Luz Soriano;residential;46.86;Undirected
348;349;Rua Luz Soriano;residential;59.82;Undirected
350;351;Rua da Barroca;residential;55.34;Undirected
351;352;Rua da Barroca;residential;43.3;Undirected
352;318;Rua da Barroca;residential;61.08;Undirected
318;353;Rua da Barroca;residential;52.24;Undirected
354;355;Rua da Oliveira ao Carmo;residential;44.22;Undirected
356;278;Rua da Condessa;residential;162.26;Undirected
357;279;Rua do Duque;residential;116.49;Undirected
358;359;Travessa da Trinidade;residential;52.85;Undirected
360;350;Rua das Salgadeiras;residential;40.62;Undirected
350;327;Rua das Salgadeiras;residential;32.27;Undirected
327;336;Rua das Salgadeiras;residential;33.72;Undirected
